units,kg
goal,84.0000
height,183.0000
2016-04-20 07:23:22,85.6000
2016-04-21 07:37:08,85.7000
2016-04-22 07:00:47,85.8000
2016-04-23 08:47:38,86.0000
2016-04-24 10:30:00,86.8000
2016-04-25 07:06:31,86.2000
2016-04-26 08:12:04,85.6000
2016-04-27 00:18:18,85.2000
2016-04-28 08:08:41,85.5000
2016-04-29 07:27:40,85.8000
2016-04-30 08:41:22,85.8000
2016-05-01 09:23:30,84.7000
2016-05-02 06:55:22,85.7000
2016-05-03 08:10:40,85.2000
2016-05-04 12:15:17,85.4000
2016-05-05 12:17:59,85.8000
2016-05-06 08:16:49,86.5000
2016-05-07 08:51:30,87.0000
2016-05-09 06:58:17,85.2000
2016-05-10 07:05:40,85.7000
2016-05-11 07:44:31,85.6000
2016-05-12 07:52:56,85.4000
2016-05-13 08:36:51,85.6000
2016-05-14 12:09:46,85.4000
2016-05-17 07:26:47,85.5000
2016-05-18 07:22:46,85.8000
2016-05-20 09:22:21,84.9000
2016-05-24 06:35:47,85.9000
2016-05-25 07:47:02,85.9000
2016-05-26 07:36:52,85.9000
2016-05-27 05:33:37,85.6000
2016-05-28 10:40:12,85.7000
2016-05-29 08:10:00,85.6000
2016-05-31 07:18:59,85.6000
2016-06-01 07:07:18,84.5000
2016-06-02 05:37:15,85.1000
2016-06-03 05:24:05,85.4000
2016-06-14 07:38:30,85.8000
2016-06-15 08:11:56,85.6000
2016-06-24 05:47:07,85.5000
2016-06-25 08:42:42,85.1000
2016-07-05 05:40:49,85.5000
2016-07-10 09:15:50,85.5000
2016-07-20 06:37:50,85.9000
2016-07-24 08:59:19,85.8000
2016-07-25 10:53:59,85.1000
2016-07-26 07:59:24,84.7000
2016-07-27 07:38:07,84.8000
2016-07-29 05:49:54,84.0000
2016-07-30 08:21:26,84.6000
2016-07-31 09:08:41,85.1000
2016-08-01 06:37:40,85.2000
2016-08-02 02:48:54,83.9000
2016-08-03 08:01:48,84.1000
2016-08-04 12:38:56,83.8000
2016-08-05 08:47:59,83.5000
2016-08-06 07:56:19,82.9000
2016-08-07 09:43:27,84.8000
2016-08-08 13:01:51,84.0000
2016-08-09 07:51:26,83.6000
2016-08-10 08:48:48,83.7000
2016-08-11 08:06:21,84.2000
2016-08-12 08:09:09,83.9000
2016-08-13 08:13:54,83.4000
2016-09-04,85.0000
2016-09-05 05:01:31,84.8000
2016-09-06,84.0000
2016-09-07 06:35:54,84.0000
2016-09-08 06:44:30,84.4000
2016-09-10 09:15:02,83.3000
2016-09-11 07:35:54,84.4000
2016-09-22 07:05:41,84.8000
2016-09-23 07:19:10,84.5000
2016-09-24 08:35:02,84.4000
2016-12-12 07:19:31,88.0000
2016-12-13 07:29:18,87.6000
2016-12-15 08:10:31,87.9000
2017-01-09 07:16:19,88.8000
2017-01-11 08:25:50,88.8000
2017-01-13 07:46:13,88.4000
2017-01-15 09:44:40,88.6000
2017-01-19 07:31:28,87.7000
2017-01-20 08:01:36,88.0000
2017-01-21 09:01:17,88.2000
2017-01-22 10:23:59,88.8000
2017-02-05 10:06:07,88.6000
2017-02-10 06:55:55,87.0000
2017-02-13 07:20:01,88.3000
2017-02-14 08:04:38,86.1000
2017-02-15 08:07:24,86.6000
2017-02-16 07:38:20,86.6000
2017-02-17 05:37:09,86.3000
2017-02-21 08:01:43,88.1000
2017-05-12 06:50:07,90.0000
2017-05-15 09:45:34,90.1000
2017-05-22 11:04:13,90.5000
2017-05-23 08:17:57,90.0000
2017-05-27 11:09:50,90.1000
2017-05-31 09:08:08,89.7000
2017-06-05 09:54:07,90.9000
2017-06-06 08:52:55,90.5000
2017-06-08 06:51:24,90.7000
2017-06-12 10:48:54,90.2000
2017-06-17 13:46:32,90.3000
2017-06-24 12:05:55,89.7000
2017-07-02 10:18:26,91.4000
2017-07-03 07:45:16,90.8000
2017-07-04 08:33:02,90.3000
2017-07-05 09:06:13,90.5000
2017-07-07 09:49:23,90.6000
2017-07-10 09:20:43,90.3000
2017-07-11 06:46:36,90.2000
2017-07-12 07:36:01,90.6000
2017-07-13 10:18:33,89.7000
2017-07-14 07:44:04,90.4000
2017-07-17 08:03:07,90.3000
2017-07-20 08:08:12,90.3000
2017-11-05 08:29:15,91.0000
2017-11-06 06:30:14,91.1000
2017-11-21 07:54:23,89.9000
2017-11-27 06:40:51,89.1000
2017-12-17 11:30:37,89.9000
2017-12-18 08:30:13,89.4000
2017-12-28 08:15:15,89.4000
2018-01-11 07:52:15,90.2000
2018-01-22 07:31:12,90.8000
2018-01-23 07:22:56,90.2000
2018-01-24 11:50:11,90.8000
2018-01-25 07:58:43,90.4000
2018-01-26 08:16:04,90.3000
2018-01-29 08:08:21,89.9000
2018-01-30 07:51:34,89.8000
2018-01-31 07:53:55,89.9000
2018-02-01 07:52:11,90.0000
2018-02-02 06:49:04,89.7000
2018-02-04 09:57:49,89.4000
2018-02-05 06:55:05,89.0000
2018-02-06 07:49:07,88.5000
2018-02-08 07:20:24,88.8000
2018-02-12 07:28:57,89.2000
2018-02-13 07:44:48,88.9000
2018-02-14 02:20:07,88.4000
2018-02-15 07:41:11,88.5000
2018-02-16 05:01:19,88.3000
2018-02-18 08:29:00,88.6000
2018-02-19 07:53:46,87.6000
2018-02-20 07:41:02,87.8000
2018-02-21 07:01:26,88.1000
2018-02-22 07:27:15,88.4000
2018-02-23 06:41:54,87.5000
2018-02-26 05:54:40,87.5000
2018-02-27 09:08:22,87.5000
2018-02-28 06:20:48,88.3000
2018-03-01 08:38:30,87.4000
2018-03-02 07:40:00,87.2000
2018-03-05 07:55:16,88.3000
2018-03-06 03:52:32,87.4000
2018-03-07 04:08:03,86.2000
2018-03-08 06:45:34,87.2000
2018-03-09 01:38:19,86.7000
2018-03-11 07:36:54,86.0000
2018-03-12 03:18:58,85.9000
2018-03-13 07:33:40,86.7000
2018-03-14 04:43:45,85.9000
