CheckSum,NumberOfBallotsWithOnlySubstitutesVotes,NumberOfBallotsWithOnlyTitularVotes,NumberOfBallotsWithTitularAndSubstitutesVotes,NumberOfHeaderVotes,kanton,name,niscode,validvotes
4483,31,267,163,1187,CANTON DE STAVELOT,ECOLO,63073,1648
97020,240,497,365,454,CANTON DE STAVELOT,CDH,63073,1556
25514,54,827,345,1234,CANTON DE STAVELOT,MR,63073,2460
1787,7,62,24,253,CANTON DE STAVELOT,PARTI POPULAIRE,63073,346
70157,6,8,3,56,CANTON DE STAVELOT,VLAAMS BELANG,63073,73
57642,4,72,22,211,CANTON DE STAVELOT,DéFI,63073,309
97555,10,537,113,731,CANTON DE STAVELOT,PTB,63073,1391
55067,1,21,15,95,CANTON DE STAVELOT,LISTES DESTEXHE,63073,132
71825,31,498,175,747,CANTON DE STAVELOT,PS,63073,1451
88445,4,15,11,89,CANTON DE STAVELOT,DierAnimal,63073,119
90582,1,14,1,47,CANTON DE STAVELOT,LA DROITE,63073,63
4954,12,27,7,104,CANTON DE STAVELOT,LES BELGES D'ABORD,63073,150
4155,1,10,1,20,CANTON DE STAVELOT,NATION,63073,32
35740,4,11,5,27,CANTON DE STAVELOT,WALLONIE INSOUMISE,63073,47
27202,2,12,5,81,CANTON DE STAVELOT,Collectif Citoyen,63073,100
7985,74,1019,326,3037,CANTON DE VERVIERS,ECOLO,63079,4456
80863,124,828,341,1273,CANTON DE VERVIERS,CDH,63079,2566
71365,231,1563,593,3154,CANTON DE VERVIERS,MR,63079,5541
48886,24,242,109,1151,CANTON DE VERVIERS,PARTI POPULAIRE,63079,1526
82305,7,27,7,112,CANTON DE VERVIERS,VLAAMS BELANG,63079,153
36586,20,205,46,767,CANTON DE VERVIERS,DéFI,63079,1038
72823,38,2264,319,2485,CANTON DE VERVIERS,PTB,63079,5106
